ID,cpu_usege,time_stamp
2599,5.15,2019-09-23 10:56:57
2600,7.8125,2019-09-23 10:56:58
2601,8.15,2019-09-23 10:56:59
2602,16.8625,2019-09-23 10:57:00
2603,15.2125,2019-09-23 10:57:01
2604,17.4375,2019-09-23 10:57:02
2605,9.6625,2019-09-23 10:57:03
2606,15.875,2019-09-23 10:57:04
2607,20.3125,2019-09-23 10:57:05
2608,13.95,2019-09-23 10:57:06
2609,28.0125,2019-09-23 10:57:07
2610,21.0125,2019-09-23 10:57:08
2611,27.1375,2019-09-23 10:57:09
2612,29.875,2019-09-23 10:57:10
2613,37.9125,2019-09-23 10:57:11
2614,22.0875,2019-09-23 10:57:12
2615,13.475,2019-09-23 10:57:13
2616,14.325,2019-09-23 10:57:14
2617,8.45,2019-09-23 10:57:15
2618,8.9,2019-09-23 10:57:16
2619,13.15,2019-09-23 10:57:17
2620,12.1125,2019-09-23 10:57:18
2621,12.425,2019-09-23 10:57:19
2622,6.3125,2019-09-23 10:57:20
2623,8.5125,2019-09-23 10:57:21
2624,17.625,2019-09-23 10:57:22
2625,11.1375,2019-09-23 10:57:23
2626,14.4,2019-09-23 10:57:24
2627,20.325,2019-09-23 10:57:25
2628,8.2125,2019-09-23 10:57:26
2629,16.4125,2019-09-23 10:57:27
2630,8.6,2019-09-23 10:57:28
2631,7.875,2019-09-23 10:57:29
2632,15.6125,2019-09-23 10:57:30
2633,37.525,2019-09-23 10:57:31
2634,16.0875,2019-09-23 10:57:32
2635,11.4375,2019-09-23 10:57:33
2636,16.8,2019-09-23 10:57:34
2637,12.6625,2019-09-23 10:57:35
2638,9.2875,2019-09-23 10:57:36
2639,14.3875,2019-09-23 10:57:38
2640,23.15,2019-09-23 10:57:39
2641,8.8,2019-09-23 10:57:40
2642,6.6625,2019-09-23 10:57:41
2643,10.55,2019-09-23 10:57:42
2644,6.625,2019-09-23 10:57:43
2645,8.675,2019-09-23 10:57:44
2646,8.2375,2019-09-23 10:57:45
2647,34.4125,2019-09-23 10:57:46
2648,12.6625,2019-09-23 10:57:47
2649,21.5125,2019-09-23 10:57:48
2650,16.55,2019-09-23 10:57:49
2651,8.825,2019-09-23 10:57:50
2652,6.95,2019-09-23 10:57:51
2653,8.825,2019-09-23 10:57:52
2654,7.1875,2019-09-23 10:57:53
2655,9.7625,2019-09-23 10:57:54
2656,8.0375,2019-09-23 10:57:55
2657,9.35,2019-09-23 10:57:56
2658,8.6125,2019-09-23 10:57:57
2659,13.2875,2019-09-23 10:57:58
2660,7.4875,2019-09-23 10:57:59
2661,12.525,2019-09-23 10:58:00
2662,8.2125,2019-09-23 10:58:01
2663,8.6,2019-09-23 10:58:02
2664,7.0625,2019-09-23 10:58:03
2665,10.225,2019-09-23 10:58:04
2666,5.45,2019-09-23 10:58:05
2667,9.0125,2019-09-23 10:58:06
2668,4.3,2019-09-23 10:58:07
2669,16.0625,2019-09-23 10:58:08
2670,7.0375,2019-09-23 10:58:09
2671,8.95,2019-09-23 10:58:10
2672,6.275,2019-09-23 10:58:11
2673,9.3625,2019-09-23 10:58:12
2674,7.3625,2019-09-23 10:58:13
2675,9.7375,2019-09-23 10:58:14
2676,9.7875,2019-09-23 10:58:15
2677,12.4625,2019-09-23 10:58:16
2678,7.8375,2019-09-23 10:58:17
2679,15.1375,2019-09-23 10:58:18
2680,5.875,2019-09-23 10:58:19
2681,8.575,2019-09-23 10:58:20
2682,8.55,2019-09-23 10:58:21
2683,10.45,2019-09-23 10:58:22
2684,4.3,2019-09-23 10:58:23
2685,10.3625,2019-09-23 10:58:24
2686,9.3125,2019-09-23 10:58:25
2687,9.7125,2019-09-23 10:58:26
2688,7.225,2019-09-23 10:58:27
2689,14.4125,2019-09-23 10:58:28
2690,7.7375,2019-09-23 10:58:29
2691,11.1,2019-09-23 10:58:30
2692,8.2625,2019-09-23 10:58:31
2693,12.0125,2019-09-23 10:58:32
2694,8.9375,2019-09-23 10:58:33
2695,9.35,2019-09-23 10:58:34
2696,8.3,2019-09-23 10:58:35
2697,10.9875,2019-09-23 10:58:36
2698,7.0,2019-09-23 10:58:37
2699,16.65,2019-09-23 10:58:38
2700,7.025,2019-09-23 10:58:39
2701,11.5125,2019-09-23 10:58:40
2702,8.9875,2019-09-23 10:58:41
2703,11.6375,2019-09-23 10:58:42
2704,8.2125,2019-09-23 10:58:43
2705,12.9625,2019-09-23 10:58:45
2706,9.9375,2019-09-23 10:58:46
2707,12.7,2019-09-23 10:58:47
2708,7.8875,2019-09-23 10:58:48
2709,14.9125,2019-09-23 10:58:49
2710,5.775,2019-09-23 10:58:50
2711,9.775,2019-09-23 10:58:51
2712,8.25,2019-09-23 10:58:52
2713,8.975,2019-09-23 10:58:53
2714,8.0,2019-09-23 10:58:54
2715,8.6375,2019-09-23 10:58:55
2716,7.0,2019-09-23 10:58:56
2717,11.925,2019-09-23 10:58:57
2718,7.375,2019-09-23 10:58:58
2719,14.025,2019-09-23 10:58:59
2720,6.2125,2019-09-23 10:59:00
2721,10.5625,2019-09-23 10:59:01
2722,10.9625,2019-09-23 10:59:02
2723,11.675,2019-09-23 10:59:03
2724,8.55,2019-09-23 10:59:04
2725,10.4,2019-09-23 10:59:05
2726,15.75,2019-09-23 10:59:06
2727,18.2375,2019-09-23 10:59:07
2728,17.0625,2019-09-23 10:59:08
2729,28.3125,2019-09-23 10:59:09
2730,14.8125,2019-09-23 10:59:10
2731,19.4,2019-09-23 10:59:11
2732,22.8375,2019-09-23 10:59:12
2733,15.2375,2019-09-23 10:59:13
2734,16.325,2019-09-23 10:59:14
2735,9.775,2019-09-23 10:59:15
2736,30.7125,2019-09-23 10:59:16
2737,24.0125,2019-09-23 10:59:17
2738,29.3375,2019-09-23 10:59:18
2739,23.7375,2019-09-23 10:59:19
2740,9.025,2019-09-23 10:59:20
2741,22.5,2019-09-23 10:59:21
2742,13.4625,2019-09-23 10:59:22
2743,15.65,2019-09-23 10:59:23
2744,18.325,2019-09-23 10:59:24
2745,24.45,2019-09-23 10:59:25
2746,16.9,2019-09-23 10:59:26
2747,66.15,2019-09-23 10:59:27
2748,28.7125,2019-09-23 10:59:28
2749,28.9125,2019-09-23 10:59:29
2750,10.075,2019-09-23 10:59:30
2751,18.3375,2019-09-23 10:59:31
2752,14.425,2019-09-23 10:59:32
2753,13.3375,2019-09-23 10:59:33
2754,10.1375,2019-09-23 10:59:34
2755,10.875,2019-09-23 10:59:35
2756,11.1625,2019-09-23 10:59:36
2757,23.2875,2019-09-23 10:59:37
2758,47.425,2019-09-23 10:59:38
2759,28.4375,2019-09-23 10:59:39
2760,19.4375,2019-09-23 10:59:40
2761,23.5375,2019-09-23 10:59:41
2762,18.3625,2019-09-23 10:59:42
2763,27.375,2019-09-23 10:59:43
2764,18.6,2019-09-23 10:59:44
2765,32.5375,2019-09-23 10:59:45
2766,26.025,2019-09-23 10:59:46
2767,22.3875,2019-09-23 10:59:47
2768,29.3125,2019-09-23 10:59:48
2769,35.0875,2019-09-23 10:59:50
2770,27.9375,2019-09-23 10:59:51
2771,28.45,2019-09-23 10:59:52
2772,22.0875,2019-09-23 10:59:53
2773,18.7625,2019-09-23 10:59:54
2774,20.2125,2019-09-23 10:59:55
2775,21.9,2019-09-23 10:59:56
2776,23.9625,2019-09-23 10:59:57
2777,24.475,2019-09-23 10:59:58
2778,14.3625,2019-09-23 10:59:59
2779,22.2125,2019-09-23 11:00:00
2780,31.8125,2019-09-23 11:00:01
2781,23.3625,2019-09-23 11:00:02
2782,26.85,2019-09-23 11:00:03
2783,22.575,2019-09-23 11:00:04
2784,19.55,2019-09-23 11:00:05
2785,20.6,2019-09-23 11:00:06
2786,21.3,2019-09-23 11:00:07
2787,20.5,2019-09-23 11:00:08
2788,26.2875,2019-09-23 11:00:09
2789,42.9125,2019-09-23 11:00:10
2790,30.7,2019-09-23 11:00:11
2791,36.8625,2019-09-23 11:00:12
2792,30.8875,2019-09-23 11:00:13
2793,25.6625,2019-09-23 11:00:14
2794,20.5375,2019-09-23 11:00:15
2795,19.1125,2019-09-23 11:00:16
2796,19.8,2019-09-23 11:00:17
2797,15.6375,2019-09-23 11:00:18
2798,19.0625,2019-09-23 11:00:19
2799,17.0125,2019-09-23 11:00:20
2800,27.5625,2019-09-23 11:00:21
2801,14.85,2019-09-23 11:00:22
2802,16.875,2019-09-23 11:00:23
2803,17.5,2019-09-23 11:00:24
2804,22.8375,2019-09-23 11:00:25
2805,14.85,2019-09-23 11:00:26
2806,21.4125,2019-09-23 11:00:27
2807,15.975,2019-09-23 11:00:28
2808,17.875,2019-09-23 11:00:29
2809,16.9625,2019-09-23 11:00:30
2810,21.6375,2019-09-23 11:00:31
2811,19.3,2019-09-23 11:00:32
2812,23.35,2019-09-23 11:00:33
2813,16.725,2019-09-23 11:00:34
2814,20.2875,2019-09-23 11:00:35
2815,13.3875,2019-09-23 11:00:36
2816,19.725,2019-09-23 11:00:37
2817,16.95,2019-09-23 11:00:38
2818,21.1625,2019-09-23 11:00:39
2819,21.725,2019-09-23 11:00:40
2820,19.8,2019-09-23 11:00:41
2821,19.1375,2019-09-23 11:00:42
2822,17.15,2019-09-23 11:00:43
2823,16.275,2019-09-23 11:00:44
2824,19.775,2019-09-23 11:00:45
2825,22.1,2019-09-23 11:00:46
2826,14.075,2019-09-23 11:00:47
2827,16.9,2019-09-23 11:00:48
2828,12.3625,2019-09-23 11:00:49
2829,13.175,2019-09-23 11:00:50
2830,15.9125,2019-09-23 11:00:51
2831,19.8625,2019-09-23 11:00:52
2832,19.9375,2019-09-23 11:00:53
