ID,ram_usege,time_stamp
215,42.8,2019-09-23 11:12:10
216,42.8,2019-09-23 11:12:20
217,42.8,2019-09-23 11:12:30
218,42.7,2019-09-23 11:12:40
219,42.9,2019-09-23 11:12:50
220,43.0,2019-09-23 11:13:00
221,42.9,2019-09-23 11:13:10
222,42.9,2019-09-23 11:13:20
223,42.9,2019-09-23 11:13:30
224,43.1,2019-09-23 11:13:40
225,43.1,2019-09-23 11:13:50
226,43.1,2019-09-23 11:14:00
227,43.0,2019-09-23 11:14:10
228,42.9,2019-09-23 11:14:20
229,42.9,2019-09-23 11:14:31
230,42.8,2019-09-23 11:14:41
231,42.8,2019-09-23 11:14:51
232,42.7,2019-09-23 11:15:01
233,43.0,2019-09-23 11:15:11
234,42.9,2019-09-23 11:15:21
235,42.7,2019-09-23 11:15:31
236,42.6,2019-09-23 11:15:41
237,42.7,2019-09-23 11:15:51
238,42.6,2019-09-23 11:16:01
239,42.5,2019-09-23 11:16:11
240,42.5,2019-09-23 11:16:21
241,42.5,2019-09-23 11:16:31
242,42.5,2019-09-23 11:16:41
243,42.6,2019-09-23 11:16:51
244,42.4,2019-09-23 11:17:01
