ID,Bytes,time_stamp
404,1252990215,2019-09-23 08:38:58
405,1252990215,2019-09-23 08:38:59
406,1252990215,2019-09-23 08:39:00
407,1252990351,2019-09-23 08:39:01
408,1252990351,2019-09-23 08:39:02
409,1252990351,2019-09-23 08:39:03
410,1252990351,2019-09-23 08:39:04
411,1252991353,2019-09-23 08:39:05
412,1252994848,2019-09-23 08:39:06
413,1252994848,2019-09-23 08:39:07
414,1252994848,2019-09-23 08:39:08
415,1253000671,2019-09-23 08:39:10
416,1253000739,2019-09-23 08:39:11
417,1253003920,2019-09-23 08:39:12
418,1253006870,2019-09-23 08:39:13
419,1253006870,2019-09-23 08:39:14
420,1253007245,2019-09-23 08:39:15
421,1253007245,2019-09-23 08:39:16
422,1253010119,2019-09-23 08:39:17
423,1253010187,2019-09-23 08:39:18
424,1253010187,2019-09-23 08:39:19
425,1253010187,2019-09-23 08:39:20
426,1253010187,2019-09-23 08:39:21
427,1253010187,2019-09-23 08:39:22
428,1253010187,2019-09-23 08:39:23
429,1253010243,2019-09-23 08:39:24
430,1253010243,2019-09-23 08:39:25
431,1253010243,2019-09-23 08:39:26
432,1253012674,2019-09-23 08:39:27
433,1253014870,2019-09-23 08:39:28
434,1253014870,2019-09-23 08:39:29
435,1253014870,2019-09-23 08:39:30
436,1253014870,2019-09-23 08:39:31
437,1253014870,2019-09-23 08:39:32
438,1253014870,2019-09-23 08:39:33
439,1253015006,2019-09-23 08:39:34
440,1253015006,2019-09-23 08:39:35
441,1253015006,2019-09-23 08:39:36
442,1253015210,2019-09-23 08:39:37
443,1253015354,2019-09-23 08:39:38
444,1253015354,2019-09-23 08:39:39
445,1253015354,2019-09-23 08:39:40
446,1253015354,2019-09-23 08:39:41
447,1253015354,2019-09-23 08:39:42
448,1253015354,2019-09-23 08:39:43
449,1253015354,2019-09-23 08:39:44
450,1253020399,2019-09-23 08:39:45
451,1253020467,2019-09-23 08:39:46
452,1253021090,2019-09-23 08:39:47
453,1253029172,2019-09-23 08:39:48
454,1253030466,2019-09-23 08:39:49
455,1253030466,2019-09-23 08:39:50
456,1253031471,2019-09-23 08:39:51
457,1253031471,2019-09-23 08:39:53
458,1253031527,2019-09-23 08:39:54
459,1253031663,2019-09-23 08:39:55
460,1253090292,2019-09-23 08:39:56
461,1253090292,2019-09-23 08:39:57
462,1253090292,2019-09-23 08:39:58
463,1253090292,2019-09-23 08:39:59
464,1253090292,2019-09-23 08:40:00
465,1253090292,2019-09-23 08:40:01
466,1253090360,2019-09-23 08:40:02
467,1253090537,2019-09-23 08:40:03
468,1253097920,2019-09-23 08:40:04
469,1253098235,2019-09-23 08:40:05
470,1253098235,2019-09-23 08:40:06
471,1253098235,2019-09-23 08:40:07
472,1253098235,2019-09-23 08:40:08
473,1253100666,2019-09-23 08:40:09
474,1253102794,2019-09-23 08:40:10
475,1253103982,2019-09-23 08:40:11
476,1253104297,2019-09-23 08:40:12
477,1253105539,2019-09-23 08:40:13
478,1253105854,2019-09-23 08:40:14
479,1253106169,2019-09-23 08:40:15
480,1253106484,2019-09-23 08:40:16
481,1253106799,2019-09-23 08:40:17
482,1253107114,2019-09-23 08:40:18
483,1253107306,2019-09-23 08:40:19
484,1253107565,2019-09-23 08:40:20
485,1253107880,2019-09-23 08:40:21
486,1253108331,2019-09-23 08:40:22
487,1253108702,2019-09-23 08:40:23
488,1253109017,2019-09-23 08:40:24
489,1253109332,2019-09-23 08:40:25
490,1253109647,2019-09-23 08:40:26
491,1253109962,2019-09-23 08:40:27
492,1253110421,2019-09-23 08:40:28
493,1253111359,2019-09-23 08:40:29
494,1253115309,2019-09-23 08:40:30
495,1253116061,2019-09-23 08:40:31
496,1253116376,2019-09-23 08:40:32
497,1253117199,2019-09-23 08:40:33
498,1253117514,2019-09-23 08:40:34
499,1253117570,2019-09-23 08:40:35
500,1253118843,2019-09-23 08:40:36
501,1253119158,2019-09-23 08:40:37
502,1253120026,2019-09-23 08:40:39
503,1253177004,2019-09-23 08:40:40
504,1253181128,2019-09-23 08:40:41
505,1253181128,2019-09-23 08:40:42
506,1253188166,2019-09-23 08:40:43
507,1253188166,2019-09-23 08:40:44
508,1253190138,2019-09-23 08:40:45
509,1253194244,2019-09-23 08:40:46
510,1253194312,2019-09-23 08:40:47
511,1253200596,2019-09-23 08:40:48
512,1253202857,2019-09-23 08:40:49
513,1253205642,2019-09-23 08:40:50
514,1253209277,2019-09-23 08:40:51
515,1253212192,2019-09-23 08:40:52
516,1253212248,2019-09-23 08:40:53
517,1253212392,2019-09-23 08:40:54
518,1253213252,2019-09-23 08:40:55
519,1253214229,2019-09-23 08:40:56
520,1253217052,2019-09-23 08:40:57
521,1253219668,2019-09-23 08:40:58
522,1253220649,2019-09-23 08:40:59
523,1253220649,2019-09-23 08:41:00
524,1253289295,2019-09-23 08:41:01
525,1253293873,2019-09-23 08:41:02
526,1253357172,2019-09-23 08:41:03
527,1253388197,2019-09-23 08:41:04
528,1253559821,2019-09-23 08:41:05
529,1253596719,2019-09-23 08:41:06
530,1253646320,2019-09-23 08:41:07
531,1253646320,2019-09-23 08:41:08
532,1253648183,2019-09-23 08:41:09
533,1253648183,2019-09-23 08:41:10
534,1253648925,2019-09-23 08:41:11
535,1253655108,2019-09-23 08:41:12
536,1253655860,2019-09-23 08:41:13
537,1253655860,2019-09-23 08:41:14
538,1253656354,2019-09-23 08:41:15
539,1253656903,2019-09-23 08:41:16
540,1253657045,2019-09-23 08:41:17
541,1253657189,2019-09-23 08:41:19
542,1253657189,2019-09-23 08:41:20
543,1253657189,2019-09-23 08:41:21
544,1253657325,2019-09-23 08:41:22
545,1253657325,2019-09-23 08:41:23
546,1253657381,2019-09-23 08:41:24
547,1253669695,2019-09-23 08:41:25
548,1253669831,2019-09-23 08:41:26
549,1253669831,2019-09-23 08:41:27
550,1253669831,2019-09-23 08:41:28
551,1253669831,2019-09-23 08:41:29
552,1253669831,2019-09-23 08:41:30
553,1253669831,2019-09-23 08:41:31
554,1253671516,2019-09-23 08:41:32
555,1253677444,2019-09-23 08:41:33
556,1253680702,2019-09-23 08:41:34
557,1253680702,2019-09-23 08:41:35
558,1253680702,2019-09-23 08:41:36
559,1253680702,2019-09-23 08:41:37
560,1253680702,2019-09-23 08:41:38
561,1253680702,2019-09-23 08:41:39
562,1253680702,2019-09-23 08:41:40
563,1253684056,2019-09-23 08:41:41
564,1253684056,2019-09-23 08:41:42
565,1253686292,2019-09-23 08:41:43
566,1253690466,2019-09-23 08:41:44
567,1253693311,2019-09-23 08:41:45
568,1253695893,2019-09-23 08:41:46
569,1253699461,2019-09-23 08:41:47
570,1253701263,2019-09-23 08:41:48
571,1253705098,2019-09-23 08:41:49
572,1253708120,2019-09-23 08:41:50
573,1253710143,2019-09-23 08:41:51
574,1253710347,2019-09-23 08:41:52
575,1253751047,2019-09-23 08:41:53
576,1253792576,2019-09-23 08:41:54
577,1253794060,2019-09-23 08:41:55
578,1253844165,2019-09-23 08:41:56
579,1254275802,2019-09-23 08:41:57
580,1254968197,2019-09-23 08:41:58
581,1255284540,2019-09-23 08:41:59
582,1255284596,2019-09-23 08:42:00
583,1255287752,2019-09-23 08:42:01
584,1255287808,2019-09-23 08:42:02
585,1255287808,2019-09-23 08:42:03
586,1255314426,2019-09-23 08:42:04
587,1255314426,2019-09-23 08:42:05
588,1255322592,2019-09-23 08:42:06
589,1255322592,2019-09-23 08:42:07
590,1255332966,2019-09-23 08:42:08
591,1255338185,2019-09-23 08:42:09
592,1255338601,2019-09-23 08:42:11
593,1255338601,2019-09-23 08:42:12
594,1255338601,2019-09-23 08:42:13
595,1255338601,2019-09-23 08:42:14
596,1255339974,2019-09-23 08:42:15
597,1255343160,2019-09-23 08:42:16
598,1255344006,2019-09-23 08:42:17
599,1255344813,2019-09-23 08:42:18
600,1255346794,2019-09-23 08:42:19
601,1255349862,2019-09-23 08:42:20
602,1255352361,2019-09-23 08:42:21
603,1255354019,2019-09-23 08:42:22
604,1255354019,2019-09-23 08:42:23
605,1255354753,2019-09-23 08:42:24
606,1255354753,2019-09-23 08:42:25
607,1255357180,2019-09-23 08:42:26
608,1255361393,2019-09-23 08:42:27
609,1255419516,2019-09-23 08:42:28
610,1255436476,2019-09-23 08:42:29
611,1255436958,2019-09-23 08:42:30
612,1255439117,2019-09-23 08:42:31
613,1255506219,2019-09-23 08:42:32
614,1255608420,2019-09-23 08:42:33
615,1255680250,2019-09-23 08:42:34
616,1255686866,2019-09-23 08:42:35
617,1255697308,2019-09-23 08:42:36
618,1255699884,2019-09-23 08:42:37
619,1255701607,2019-09-23 08:42:38
620,1255709397,2019-09-23 08:42:39
621,1255709397,2019-09-23 08:42:40
622,1255709397,2019-09-23 08:42:41
623,1255709397,2019-09-23 08:42:42
624,1255709539,2019-09-23 08:42:43
625,1255709681,2019-09-23 08:42:44
626,1255709681,2019-09-23 08:42:45
627,1255709737,2019-09-23 08:42:46
628,1255709793,2019-09-23 08:42:47
629,1255709793,2019-09-23 08:42:48
630,1255710201,2019-09-23 08:42:49
631,1255710201,2019-09-23 08:42:50
632,1255710269,2019-09-23 08:42:51
633,1255710269,2019-09-23 08:42:53
634,1255714298,2019-09-23 08:42:54
635,1255714298,2019-09-23 08:42:55
636,1255714298,2019-09-23 08:42:56
637,1255784354,2019-09-23 08:42:57
638,1255787224,2019-09-23 08:42:58
639,1255787224,2019-09-23 08:42:59
640,1255787368,2019-09-23 08:43:00
641,1255787368,2019-09-23 08:43:01
642,1255787368,2019-09-23 08:43:02
643,1255787368,2019-09-23 08:43:03
644,1255787436,2019-09-23 08:43:04
645,1255787436,2019-09-23 08:43:05
646,1255787482,2019-09-23 08:43:06
647,1255787482,2019-09-23 08:43:07
648,1255787482,2019-09-23 08:43:08
649,1255787482,2019-09-23 08:43:09
650,1255787482,2019-09-23 08:43:10
651,1255787482,2019-09-23 08:43:11
652,1255787482,2019-09-23 08:43:12
653,1255787618,2019-09-23 08:43:13
654,1255787818,2019-09-23 08:43:14
655,1255787818,2019-09-23 08:43:15
656,1255787886,2019-09-23 08:43:16
657,1255788226,2019-09-23 08:43:17
658,1255791688,2019-09-23 08:43:18
659,1255793465,2019-09-23 08:43:19
660,1255793465,2019-09-23 08:43:20
661,1255793465,2019-09-23 08:43:21
662,1255793601,2019-09-23 08:43:22
663,1255793657,2019-09-23 08:43:23
664,1255793937,2019-09-23 08:43:24
665,1255793937,2019-09-23 08:43:25
666,1255793937,2019-09-23 08:43:26
667,1255793937,2019-09-23 08:43:27
668,1255793937,2019-09-23 08:43:28
669,1255793937,2019-09-23 08:43:29
670,1255794017,2019-09-23 08:43:30
671,1255794073,2019-09-23 08:43:31
672,1255794073,2019-09-23 08:43:32
673,1255794161,2019-09-23 08:43:33
674,1255794657,2019-09-23 08:43:34
675,1255794657,2019-09-23 08:43:36
676,1255794725,2019-09-23 08:43:37
677,1255794725,2019-09-23 08:43:38
678,1255796290,2019-09-23 08:43:39
679,1255799532,2019-09-23 08:43:40
680,1255812218,2019-09-23 08:43:41
681,1255814481,2019-09-23 08:43:42
682,1255814841,2019-09-23 08:43:43
683,1255816368,2019-09-23 08:43:44
684,1255860419,2019-09-23 08:43:45
