ID,Percentage,time_stamp
1442,15.65,2019-09-23 08:38:28
1443,13.7125,2019-09-23 08:38:29
1444,15.5125,2019-09-23 08:38:30
1445,13.05,2019-09-23 08:38:31
1446,12.8875,2019-09-23 08:38:32
1447,17.4,2019-09-23 08:38:33
1448,15.55,2019-09-23 08:38:34
1449,8.9375,2019-09-23 08:38:35
1450,16.3625,2019-09-23 08:38:36
1451,12.525,2019-09-23 08:38:37
1452,11.825,2019-09-23 08:38:38
1453,18.3,2019-09-23 08:38:39
1454,19.5375,2019-09-23 08:38:40
1455,16.3375,2019-09-23 08:38:41
1456,18.7125,2019-09-23 08:38:42
1457,12.55,2019-09-23 08:38:43
1458,26.6625,2019-09-23 08:38:44
1459,19.1125,2019-09-23 08:38:45
1460,13.6125,2019-09-23 08:38:46
1461,18.4625,2019-09-23 08:38:47
1462,10.5375,2019-09-23 08:38:48
1463,21.675,2019-09-23 08:38:49
1464,26.7625,2019-09-23 08:38:50
1465,16.95,2019-09-23 08:38:51
1466,20.125,2019-09-23 08:38:52
1467,22.6,2019-09-23 08:38:53
1468,18.0125,2019-09-23 08:38:54
1469,22.55,2019-09-23 08:38:55
1470,32.4375,2019-09-23 08:38:56
1471,17.725,2019-09-23 08:38:57
1472,16.0375,2019-09-23 08:38:58
1473,12.4625,2019-09-23 08:38:59
1474,20.6375,2019-09-23 08:39:00
1475,25.45,2019-09-23 08:39:01
1476,20.4375,2019-09-23 08:39:02
1477,15.125,2019-09-23 08:39:03
1478,20.95,2019-09-23 08:39:04
1479,13.75,2019-09-23 08:39:05
1480,18.1,2019-09-23 08:39:06
1481,19.1875,2019-09-23 08:39:07
1482,27.1125,2019-09-23 08:39:08
1483,21.25,2019-09-23 08:39:09
1484,21.55,2019-09-23 08:39:10
1485,22.525,2019-09-23 08:39:11
1486,27.8375,2019-09-23 08:39:12
1487,33.825,2019-09-23 08:39:13
1488,37.2,2019-09-23 08:39:14
1489,20.1125,2019-09-23 08:39:15
1490,16.625,2019-09-23 08:39:16
1491,25.325,2019-09-23 08:39:17
1492,18.725,2019-09-23 08:39:18
1493,16.8,2019-09-23 08:39:19
1494,14.525,2019-09-23 08:39:20
1495,20.6875,2019-09-23 08:39:21
1496,20.825,2019-09-23 08:39:22
1497,13.7125,2019-09-23 08:39:23
1498,41.525,2019-09-23 08:39:24
1499,22.7375,2019-09-23 08:39:25
1500,32.95,2019-09-23 08:39:26
1501,32.7125,2019-09-23 08:39:27
1502,14.75,2019-09-23 08:39:28
1503,27.4375,2019-09-23 08:39:29
1504,15.9125,2019-09-23 08:39:30
1505,25.2125,2019-09-23 08:39:31
1506,18.925,2019-09-23 08:39:32
1507,11.6,2019-09-23 08:39:33
1508,29.8875,2019-09-23 08:39:34
1509,25.95,2019-09-23 08:39:35
1510,17.375,2019-09-23 08:39:36
1511,30.125,2019-09-23 08:39:37
1512,24.7375,2019-09-23 08:39:38
1513,20.9875,2019-09-23 08:39:39
1514,18.2875,2019-09-23 08:39:40
1515,12.0625,2019-09-23 08:39:41
1516,25.0125,2019-09-23 08:39:42
1517,17.75,2019-09-23 08:39:43
1518,25.2875,2019-09-23 08:39:44
1519,16.9875,2019-09-23 08:39:45
1520,22.8,2019-09-23 08:39:47
1521,21.0,2019-09-23 08:39:48
1522,17.45,2019-09-23 08:39:49
1523,12.9125,2019-09-23 08:39:50
1524,17.85,2019-09-23 08:39:51
1525,17.4625,2019-09-23 08:39:52
1526,17.0875,2019-09-23 08:39:53
1527,9.775,2019-09-23 08:39:54
1528,16.425,2019-09-23 08:39:55
1529,11.025,2019-09-23 08:39:56
1530,10.55,2019-09-23 08:39:57
1531,12.075,2019-09-23 08:39:58
1532,13.9375,2019-09-23 08:39:59
1533,22.9375,2019-09-23 08:40:00
1534,35.975,2019-09-23 08:40:01
1535,18.4,2019-09-23 08:40:02
1536,24.5125,2019-09-23 08:40:03
1537,16.425,2019-09-23 08:40:04
1538,21.5,2019-09-23 08:40:05
1539,21.1125,2019-09-23 08:40:06
1540,14.325,2019-09-23 08:40:07
1541,12.775,2019-09-23 08:40:08
1542,13.675,2019-09-23 08:40:09
1543,32.275,2019-09-23 08:40:10
1544,21.8875,2019-09-23 08:40:11
1545,21.7625,2019-09-23 08:40:12
1546,15.675,2019-09-23 08:40:13
1547,12.4625,2019-09-23 08:40:14
1548,19.025,2019-09-23 08:40:15
1549,15.95,2019-09-23 08:40:16
1550,19.0625,2019-09-23 08:40:17
1551,11.725,2019-09-23 08:40:18
1552,14.7375,2019-09-23 08:40:19
1553,12.075,2019-09-23 08:40:20
1554,18.3625,2019-09-23 08:40:21
1555,13.2875,2019-09-23 08:40:22
1556,19.45,2019-09-23 08:40:23
1557,18.675,2019-09-23 08:40:24
1558,27.8875,2019-09-23 08:40:25
1559,18.2375,2019-09-23 08:40:26
1560,17.5375,2019-09-23 08:40:27
1561,24.2375,2019-09-23 08:40:28
1562,12.9125,2019-09-23 08:40:29
1563,12.4625,2019-09-23 08:40:30
1564,15.5375,2019-09-23 08:40:31
1565,16.9,2019-09-23 08:40:32
1566,15.625,2019-09-23 08:40:33
1567,12.5125,2019-09-23 08:40:34
1568,20.325,2019-09-23 08:40:35
1569,16.3375,2019-09-23 08:40:36
1570,14.45,2019-09-23 08:40:37
1571,18.6625,2019-09-23 08:40:38
1572,52.525,2019-09-23 08:40:39
1573,35.7125,2019-09-23 08:40:40
1574,33.5625,2019-09-23 08:40:41
1575,32.3875,2019-09-23 08:40:42
1576,39.4,2019-09-23 08:40:43
1577,38.6375,2019-09-23 08:40:44
1578,35.375,2019-09-23 08:40:45
1579,32.0625,2019-09-23 08:40:46
1580,40.8125,2019-09-23 08:40:47
1581,16.6625,2019-09-23 08:40:48
1582,16.05,2019-09-23 08:40:49
1583,17.75,2019-09-23 08:40:50
1584,22.275,2019-09-23 08:40:51
1585,22.4375,2019-09-23 08:40:52
1586,26.2125,2019-09-23 08:40:53
1587,32.65,2019-09-23 08:40:54
1588,35.175,2019-09-23 08:40:55
1589,34.1375,2019-09-23 08:40:56
1590,38.9,2019-09-23 08:40:57
1591,40.0625,2019-09-23 08:40:58
1592,45.4875,2019-09-23 08:40:59
1593,27.7125,2019-09-23 08:41:00
1594,25.025,2019-09-23 08:41:01
1595,24.4375,2019-09-23 08:41:02
1596,30.3125,2019-09-23 08:41:03
1597,33.875,2019-09-23 08:41:04
1598,44.0625,2019-09-23 08:41:05
1599,36.275,2019-09-23 08:41:06
1600,50.15,2019-09-23 08:41:07
