ID,Percentage,time_stamp
98,54.2,2019-09-23 08:38:34
99,54.1,2019-09-23 08:38:44
100,54.1,2019-09-23 08:38:54
101,54.1,2019-09-23 08:39:04
102,54.3,2019-09-23 08:39:14
103,54.5,2019-09-23 08:39:24
104,54.5,2019-09-23 08:39:34
105,54.6,2019-09-23 08:39:44
106,54.7,2019-09-23 08:39:54
107,55.0,2019-09-23 08:40:04
108,54.8,2019-09-23 08:40:14
109,54.8,2019-09-23 08:40:24
110,54.8,2019-09-23 08:40:34
111,55.7,2019-09-23 08:40:44
112,55.7,2019-09-23 08:40:54
113,55.5,2019-09-23 08:41:04
114,56.0,2019-09-23 08:41:14
115,55.9,2019-09-23 08:41:24
116,55.8,2019-09-23 08:41:34
117,55.5,2019-09-23 08:41:44
118,55.5,2019-09-23 08:41:54
119,56.2,2019-09-23 08:42:04
120,55.6,2019-09-23 08:42:14
121,55.5,2019-09-23 08:42:24
122,56.2,2019-09-23 08:42:34
123,56.0,2019-09-23 08:42:44
124,55.9,2019-09-23 08:42:54
125,56.0,2019-09-23 08:43:04
126,55.9,2019-09-23 08:43:14
127,55.9,2019-09-23 08:43:24
128,55.9,2019-09-23 08:43:34
